data,cidade,latitude,longitude,precipitacao_mm,fonte
2026-06-25,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-06-25,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-06-25,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-06-25,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-06-25,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-06-26,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-06-26,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-06-26,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-06-26,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-06-26,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-06-26,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-06-26,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-06-26,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-06-26,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-06-26,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-06-27,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-06-27,Caxias do Sul,-29.1681,-51.1794,1.1,Open-Meteo ERA5
2026-06-27,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-06-27,Passo Fundo,-28.2625,-52.4083,1.4,Open-Meteo ERA5
2026-06-27,Pelotas,-31.7654,-52.3376,2.9,Open-Meteo ERA5
2026-06-27,Porto Alegre,-30.0346,-51.2177,0.3,Open-Meteo ERA5
2026-06-27,Rio Grande,-32.035,-52.0986,0.9,Open-Meteo ERA5
2026-06-27,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-06-27,Santa Maria,-29.6842,-53.8069,0.3,Open-Meteo ERA5
2026-06-27,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-06-28,Bagé,-31.3314,-54.1069,6.5,Open-Meteo ERA5
2026-06-28,Caxias do Sul,-29.1681,-51.1794,47.1,Open-Meteo ERA5
2026-06-28,Lajeado,-29.4669,-51.9614,32.7,Open-Meteo ERA5
2026-06-28,Passo Fundo,-28.2625,-52.4083,28.8,Open-Meteo ERA5
2026-06-28,Pelotas,-31.7654,-52.3376,7.7,Open-Meteo ERA5
2026-06-28,Porto Alegre,-30.0346,-51.2177,25.9,Open-Meteo ERA5
2026-06-28,Rio Grande,-32.035,-52.0986,9.9,Open-Meteo ERA5
2026-06-28,Santa Cruz do Sul,-29.7186,-52.4311,33.1,Open-Meteo ERA5
2026-06-28,Santa Maria,-29.6842,-53.8069,34.8,Open-Meteo ERA5
2026-06-28,Uruguaiana,-29.7547,-57.0883,3.1,Open-Meteo ERA5
2026-06-29,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-06-29,Caxias do Sul,-29.1681,-51.1794,2.8,Open-Meteo ERA5
2026-06-29,Lajeado,-29.4669,-51.9614,0.1,Open-Meteo ERA5
2026-06-29,Passo Fundo,-28.2625,-52.4083,1.3,Open-Meteo ERA5
2026-06-29,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-06-29,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-06-29,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-06-29,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-06-29,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-06-29,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-06-30,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-06-30,Caxias do Sul,-29.1681,-51.1794,2.9,Open-Meteo ERA5
2026-06-30,Lajeado,-29.4669,-51.9614,0.3,Open-Meteo ERA5
2026-06-30,Passo Fundo,-28.2625,-52.4083,4.5,Open-Meteo ERA5
2026-06-30,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-06-30,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-06-30,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-06-30,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-06-30,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-06-30,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-01,Bagé,-31.3314,-54.1069,1.7,Open-Meteo ERA5
2026-07-01,Caxias do Sul,-29.1681,-51.1794,9.7,Open-Meteo ERA5
2026-07-01,Lajeado,-29.4669,-51.9614,3.2,Open-Meteo ERA5
2026-07-01,Passo Fundo,-28.2625,-52.4083,21.3,Open-Meteo ERA5
2026-07-01,Pelotas,-31.7654,-52.3376,0.7,Open-Meteo ERA5
2026-07-01,Porto Alegre,-30.0346,-51.2177,5.7,Open-Meteo ERA5
2026-07-01,Rio Grande,-32.035,-52.0986,0.8,Open-Meteo ERA5
2026-07-01,Santa Cruz do Sul,-29.7186,-52.4311,3.2,Open-Meteo ERA5
2026-07-01,Santa Maria,-29.6842,-53.8069,3.3,Open-Meteo ERA5
2026-07-01,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-02,Bagé,-31.3314,-54.1069,2.6,Open-Meteo ERA5
2026-07-02,Caxias do Sul,-29.1681,-51.1794,57.6,Open-Meteo ERA5
2026-07-02,Lajeado,-29.4669,-51.9614,14.9,Open-Meteo ERA5
2026-07-02,Passo Fundo,-28.2625,-52.4083,32.1,Open-Meteo ERA5
2026-07-02,Pelotas,-31.7654,-52.3376,3.4,Open-Meteo ERA5
2026-07-02,Porto Alegre,-30.0346,-51.2177,13.7,Open-Meteo ERA5
2026-07-02,Rio Grande,-32.035,-52.0986,2.6,Open-Meteo ERA5
2026-07-02,Santa Cruz do Sul,-29.7186,-52.4311,13.4,Open-Meteo ERA5
2026-07-02,Santa Maria,-29.6842,-53.8069,6.8,Open-Meteo ERA5
2026-07-02,Uruguaiana,-29.7547,-57.0883,0.2,Open-Meteo ERA5
2026-07-03,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-03,Caxias do Sul,-29.1681,-51.1794,0.9,Open-Meteo ERA5
2026-07-03,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-03,Passo Fundo,-28.2625,-52.4083,0.7,Open-Meteo ERA5
2026-07-03,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-03,Porto Alegre,-30.0346,-51.2177,0.3,Open-Meteo ERA5
2026-07-03,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-03,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-03,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-03,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-04,Bagé,-31.3314,-54.1069,0.1,Open-Meteo ERA5
2026-07-04,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-04,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-04,Passo Fundo,-28.2625,-52.4083,0.8,Open-Meteo ERA5
2026-07-04,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-04,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-04,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-04,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-04,Santa Maria,-29.6842,-53.8069,3.0,Open-Meteo ERA5
2026-07-04,Uruguaiana,-29.7547,-57.0883,0.9,Open-Meteo ERA5
2026-07-05,Bagé,-31.3314,-54.1069,2.8,Open-Meteo ERA5
2026-07-05,Caxias do Sul,-29.1681,-51.1794,0.2,Open-Meteo ERA5
2026-07-05,Lajeado,-29.4669,-51.9614,1.5,Open-Meteo ERA5
2026-07-05,Passo Fundo,-28.2625,-52.4083,0.7,Open-Meteo ERA5
2026-07-05,Pelotas,-31.7654,-52.3376,3.5,Open-Meteo ERA5
2026-07-05,Porto Alegre,-30.0346,-51.2177,1.0,Open-Meteo ERA5
2026-07-05,Rio Grande,-32.035,-52.0986,3.1,Open-Meteo ERA5
2026-07-05,Santa Cruz do Sul,-29.7186,-52.4311,4.0,Open-Meteo ERA5
2026-07-05,Santa Maria,-29.6842,-53.8069,5.6,Open-Meteo ERA5
2026-07-05,Uruguaiana,-29.7547,-57.0883,0.3,Open-Meteo ERA5
2026-07-06,Bagé,-31.3314,-54.1069,0.9,Open-Meteo ERA5
2026-07-06,Caxias do Sul,-29.1681,-51.1794,5.0,Open-Meteo ERA5
2026-07-06,Lajeado,-29.4669,-51.9614,0.7,Open-Meteo ERA5
2026-07-06,Passo Fundo,-28.2625,-52.4083,2.7,Open-Meteo ERA5
2026-07-06,Pelotas,-31.7654,-52.3376,1.2,Open-Meteo ERA5
2026-07-06,Porto Alegre,-30.0346,-51.2177,16.1,Open-Meteo ERA5
2026-07-06,Rio Grande,-32.035,-52.0986,0.9,Open-Meteo ERA5
2026-07-06,Santa Cruz do Sul,-29.7186,-52.4311,0.3,Open-Meteo ERA5
2026-07-06,Santa Maria,-29.6842,-53.8069,0.7,Open-Meteo ERA5
2026-07-06,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-07,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-07,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-07,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-07,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-07,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-07,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-07,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-07,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-07,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-07,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-08,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-08,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
